base_notes,chord_progressions,valid?
"[1, 5, 4, 6]","[[26, 24, 22, 15],[30, 21, 26, 19],[29, 20, 25, 18],[31, 29, 20, 13]]",TRUE
"[1, 5, 4, 6]","[[33, 31, 29, 15],[33, 30, 21, 19],[27, 32, 29, 18],[27, 31, 29, 13]]",TRUE
"[1, 5, 4, 6]","[[33, 31, 29, 15],[30, 21, 26, 19],[32, 29, 20, 18],[31, 29, 20, 13]]",TRUE
"[1, 5, 6, 4]","[[26, 24, 22, 15],[30, 21, 26, 19],[31, 29, 20, 13],[29, 20, 25, 18]]",TRUE
"[1, 5, 6, 4]","[[26, 24, 22, 15],[26, 23, 14, 12],[20, 24, 22, 6],[20, 25, 22, 11]]",TRUE
"[1, 5, 6, 4]","[[31, 26, 22, 15],[33, 21, 23, 19],[27, 29, 24, 13],[36, 32, 20, 18]]",TRUE
"[1, 6, 4, 5]","[[33, 31, 29, 22],[29, 20, 25, 18],[30, 21, 26, 19],[31, 29, 20, 13]]",TRUE
"[1, 6, 4, 5]","[[29, 26, 24, 15],[29, 20, 24, 13],[29, 20, 25, 18],[30, 21, 26, 19]]",TRUE
"[1, 6, 4, 5]","[[31, 29, 26, 22],[31, 29, 20, 13],[32, 29, 20, 18],[21, 26, 23, 19]]",TRUE
"[1, 6, 5, 4]","[[33, 31, 29, 22],[31, 29, 20, 13],[30, 21, 26, 19],[29, 20, 25, 18]]",TRUE
"[1, 6, 5, 4]","[[33, 31, 29, 22],[31, 29, 20, 13],[33, 30, 21, 19],[32, 29, 20, 18]]",TRUE
"[1, 6, 5, 4]","[[31, 29, 26, 22],[31, 29, 20, 13],[30, 21, 26, 19],[29, 20, 25, 18]]",TRUE
"[1, 6, 5, 4]","[[33, 29, 26, 22],[33, 31, 20, 13],[33, 30, 26, 19],[32, 29, 25, 18]]",TRUE
"[1, 6, 5, 4]","[[29, 26, 24, 15],[29, 20, 24, 13],[21, 26, 23, 19],[29, 20, 25, 18]]",TRUE
"[2, 4, 6, 5]","[[20, 25, 23, 16],[29, 20, 25, 18],[31, 29, 20, 13],[30, 21, 26, 19]]",TRUE
"[2, 4, 6, 5]","[[20, 25, 23, 16],[29, 20, 25, 18],[29, 20, 24, 13],[21, 26, 23, 19]]",TRUE
"[3, 5, 6, 1]","[[21, 26, 24, 17],[30, 21, 26, 19],[31, 29, 20, 13],[33, 31, 29, 22]]",TRUE
"[3, 5, 6, 1]","[[31, 21, 26, 24],[30, 21, 26, 19],[31, 29, 20, 13],[31, 29, 26, 22]]",TRUE
"[3, 5, 6, 1]","[[28, 31, 26, 17],[28, 30, 26, 19],[27, 31, 29, 13],[36, 33, 31, 22]]",TRUE
"[3, 5, 6, 1]","[[21, 26, 24, 17],[21, 26, 23, 19],[20, 24, 13, 6],[26, 24, 22, 15]]",TRUE
"[3, 5, 6, 3]","[[21, 26, 24, 17],[30, 21, 26, 19],[31, 29, 20, 13],[21, 26, 24, 17]]",TRUE
"[3, 5, 6, 3]","[[21, 26, 24, 17],[21, 26, 19, 23],[29, 20, 13, 24],[21, 26, 17, 24]]",TRUE
"[4, 1, 5, 3]","[[29, 20, 25, 18],[33, 31, 29, 22],[30, 21, 26, 19],[21, 26, 24, 17]]",TRUE
